name, republican voters, democratic voters, total voters, population, turnout
"Boone, Illinois","12261","8952","22604","53503","0.4225"
"Brown, Illinois","1776","475","2336","6762","0.3455"
"Bureau, Illinois","9264","6010","16303","33359","0.4887"
"Calhoun, Illinois","1719","739","2556","4894","0.5223"
"Carroll, Illinois","4428","2437","7354","14539","0.5058"
"Cass, Illinois","3216","1617","5054","12676","0.3987"
"Champaign, Illinois","33235","49694","89196","208419","0.4280"
"Christian, Illinois","10522","3982","15310","33309","0.4596"
"Clark, Illinois","5620","1873","7819","15938","0.4906"
"Clay, Illinois","5009","1014","6278","13300","0.4720"
"Clinton, Illinois","12394","3939","17268","37729","0.4577"
"Coles, Illinois","12985","7285","21580","52343","0.4123"
"Cook, Illinois","440213","1528582","2055215","5203499","0.3950"
"Crawford, Illinois","6146","1969","8507","19308","0.4406"
"Cumberland, Illinois","4200","1028","5513","10858","0.5077"
"DeKalb, Illinois","19051","20348","42605","104528","0.4076"
"De Witt, Illinois","5072","1907","7469","16226","0.4603"
"Douglas, Illinois","5695","1946","8089","19630","0.4121"
"DuPage, Illinois","164355","222499","412929","929368","0.4443"
"Edgar, Illinois","5634","1778","7783","17566","0.4431"
"Edwards, Illinois","2777","432","3312","6523","0.5077"
"Effingham, Illinois","13613","3071","17428","34386","0.5068"
"Fayette, Illinois","7363","1814","9515","21789","0.4367"
"Ford, Illinois","4474","1410","6289","13575","0.4633"
"Franklin, Illinois","13101","4711","18533","39156","0.4733"
"Fulton, Illinois","8482","6118","15609","35536","0.4392"
"Gallatin, Illinois","1942","656","2691","5212","0.5163"
"Greene, Illinois","4139","1202","5542","13093","0.4233"
"Grundy, Illinois","13417","8021","22891","50437","0.4539"
"Hamilton, Illinois","3205","800","4143","8061","0.5140"
"Hancock, Illinois","5713","1744","7818","18508","0.4224"
"Hardin, Illinois","1650","419","2133","4024","0.5301"
"Henderson, Illinois","2153","1151","3480","6869","0.5066"
"Henry, Illinois","13962","8835","24232","49280","0.4917"
"Iroquois, Illinois","9728","2496","12923","28334","0.4561"
"Jackson, Illinois","10889","11619","24509","58870","0.4163"
"Jasper, Illinois","3973","924","5104","9536","0.5352"
"Jefferson, Illinois","11681","4408","16818","38460","0.4373"
"Jersey, Illinois","7737","2673","10909","22025","0.4953"
"Jo Daviess, Illinois","6113","4452","11177","21770","0.5134"
"Johnson, Illinois","4644","1135","6017","12902","0.4664"
"Kane, Illinois","82087","99389","193500","531715","0.3639"
"Kankakee, Illinois","25081","18908","46556","110008","0.4232"
"Kendall, Illinois","24152","23392","50815","124695","0.4075"
"Knox, Illinois","10658","9939","21964","50938","0.4312"
"Lake, Illinois","108608","168186","293574","703047","0.4176"
"LaSalle, Illinois","26269","19277","48447","110642","0.4379"
"Lawrence, Illinois","4517","1288","6039","16377","0.3687"
"Lee, Illinois","8597","5499","15215","34251","0.4442"
"Livingston, Illinois","10197","4005","15096","36526","0.4133"
"Logan, Illinois","8167","3301","12130","29527","0.4108"
"Macon, Illinois","26782","18211","47283","106550","0.4438"
"Macoupin, Illinois","14194","6532","21881","45908","0.4766"
"Madison, Illinois","70295","50336","127902","265759","0.4813"
"Marion, Illinois","11677","4231","16600","38140","0.4352"
"Marshall, Illinois","3776","1784","5903","11939","0.4944"
"Mason, Illinois","4051","2008","6433","13507","0.4763"
"Massac, Illinois","4844","1555","6633","14658","0.4525"
"McDonough, Illinois","6789","5278","12910","30996","0.4165"
"McHenry, Illinois","71117","59827","140145","307004","0.4565"
"McLean, Illinois","37081","35918","78995","172418","0.4582"
"Menard, Illinois","4230","1808","6423","12516","0.5132"
"Mercer, Illinois","4800","3061","8417","15730","0.5351"
"Monroe, Illinois","12614","5522","19074","34068","0.5599"
"Montgomery, Illinois","8616","3490","12829","28952","0.4431"
"Morgan, Illinois","9060","4693","14607","34277","0.4261"
"Moultrie, Illinois","4453","1476","6209","14827","0.4188"
"Ogle, Illinois","14344","8025","23798","51273","0.4641"
"Peoria, Illinois","35299","37436","77465","185006","0.4187"
"Perry, Illinois","6816","2433","9706","21357","0.4545"
"Piatt, Illinois","5623","2633","8899","16560","0.5374"
"Pike, Illinois","5749","1412","7458","15950","0.4676"
"Pope, Illinois","1678","374","2132","4157","0.5129"
"Pulaski, Illinois","1583","817","2473","5619","0.4401"
"Putnam, Illinois","1762","1143","3076","5611","0.5482"
"Randolph, Illinois","9992","3421","14032","32621","0.4302"
"Richland, Illinois","5736","1579","7630","15930","0.4790"
"Rock Island, Illinois","26969","32258","62971","144784","0.4349"
"Saline, Illinois","8248","2551","11234","24307","0.4622"
"Sangamon, Illinois","49823","40731","96472","197499","0.4885"
"Schuyler, Illinois","2523","1074","3792","6923","0.5477"
"Scott, Illinois","1965","528","2583","5053","0.5112"
"Shelby, Illinois","8209","2279","10912","21717","0.5025"
"St. Clair, Illinois","53479","60180","119201","262759","0.4537"
"Stark, Illinois","1777","748","2707","5776","0.4687"
"Stephenson, Illinois","10845","7531","19525","45624","0.4280"
"Tazewell, Illinois","38620","20568","63347","134385","0.4714"
"Union, Illinois","5780","2389","8514","17212","0.4947"
"Vermilion, Illinois","18582","9876","29799","78111","0.3815"
"Wabash, Illinois","4039","1146","5402","11492","0.4701"
"Warren, Illinois","4267","2983","7700","17378","0.4431"
"Washington, Illinois","5566","1446","7376","14154","0.5211"
"Wayne, Illinois","6963","1048","8256","16396","0.5035"
"White, Illinois","5639","1412","7289","14292","0.5100"
"Whiteside, Illinois","12597","11005","25210","56536","0.4459"
"Will, Illinois","129726","146230","291010","689529","0.4220"
